Save File As,Default
File Name,default
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,1.0
Temperature Correction,0.0
Reference diff Voltage,1000.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS,57000
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,PS,-12V,5V,10.58V
6.0000,28.1250,0.1125,0.1189,57.0016,10.6165,5.0182,9.6143
6.1000,28.1250,0.1084,0.1252,57.0040,10.6169,5.0182,9.6143
6.2000,28.1250,0.1091,0.1028,57.0016,10.6165,5.0182,9.6143
6.3000,28.1250,0.1125,0.1324,57.0040,10.6165,5.0182,9.6143
6.4000,28.1250,0.1211,0.1140,57.0016,10.6165,5.0182,9.6143
6.5000,28.1250,0.1099,0.1316,57.0016,10.6165,5.0182,9.6143
6.6000,28.1250,0.1140,0.1147,57.0040,10.6165,5.0181,9.6143
6.7000,28.1875,0.1196,0.1331,57.0040,10.6165,5.0181,9.6143
6.8000,28.1875,0.1170,0.1271,57.0016,10.6161,5.0175,9.6143
6.9000,28.1250,0.1121,0.1493,57.0016,10.6165,5.0181,9.6143
7.0000,28.1250,0.1133,0.1331,57.0016,10.6165,5.0182,9.6143
7.1000,28.1250,0.1054,0.1028,57.0016,10.6165,5.0182,9.6146
7.2000,28.1250,0.1256,0.1159,57.0016,10.6165,5.0181,9.6143
7.3000,28.1250,0.1320,0.1376,57.0016,10.6165,5.0182,9.6143
7.4000,28.1875,0.1226,0.1249,57.0016,10.6165,5.0182,9.6143
7.5000,28.1875,0.1016,0.1260,57.0016,10.6165,5.0182,9.6143
7.6000,28.1250,0.0956,0.1177,57.0040,10.6165,5.0182,9.6143
7.7000,28.1250,0.1065,0.1136,57.0040,10.6165,5.0181,9.6143
7.8000,28.1250,0.1140,0.1151,57.0016,10.6165,5.0181,9.6143
7.9000,28.1250,0.1072,0.1215,57.0016,10.6165,5.0182,9.6146
