Save File As,Default
File Name,default
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,1.0
Temperature Correction,0.0
Reference diff Voltage,1000.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS,57000
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,PS,-12V,5V,10.58V
6.6000,25.1875,-0.0308,-0.0593,57.0064,10.6268,5.0196,9.6135
6.7000,25.1875,-0.0390,-0.0574,57.0064,10.6268,5.0196,9.6135
6.8000,25.1875,-0.0300,-0.0472,57.0089,10.6268,5.0196,9.6135
6.9000,25.1875,-0.0311,-0.0487,57.0064,10.6268,5.0196,9.6135
7.0000,25.1250,-0.0026,-0.0409,57.0089,10.6268,5.0196,9.6135
7.1000,25.1250,-0.0154,-0.0593,57.0064,10.6264,5.0194,9.6135
7.2000,25.1250,-0.0090,-0.0585,57.0064,10.6264,5.0196,9.6135
7.3000,25.1250,-0.0210,-0.0491,57.0064,10.6268,5.0194,9.6135
7.4000,25.1250,-0.0146,-0.0578,57.0064,10.6268,5.0196,9.6135
7.5000,25.1875,-0.0056,-0.0446,57.0064,10.6268,5.0196,9.6135
7.6000,25.1875,-0.0326,-0.0476,57.0089,10.6264,5.0196,9.6135
7.7000,25.1875,-0.0364,-0.0532,57.0064,10.6268,5.0196,9.6135
7.8000,25.1875,-0.0330,-0.0634,57.0064,10.6268,5.0196,9.6135
7.9000,25.1875,-0.0296,-0.0604,57.0089,10.6268,5.0196,9.6135
8.0000,25.1875,-0.0154,-0.0683,57.0089,10.6268,5.0196,9.6135
8.1000,25.1875,-0.0255,-0.0694,57.0064,10.6264,5.0198,9.6135
8.2000,25.1875,-0.0270,-0.0622,57.0064,10.6268,5.0196,9.6135
8.3000,25.1875,-0.0247,-0.0544,57.0064,10.6264,5.0196,9.6135
8.4000,25.1875,-0.0341,-0.0382,57.0064,10.6264,5.0198,9.6135
8.5000,25.1875,-0.0435,-0.0683,57.0064,10.6268,5.0196,9.6135
8.6000,25.1875,-0.0424,-0.0664,57.0089,10.6268,5.0198,9.6135
8.7000,25.1875,-0.0416,-0.0622,57.0064,10.6264,5.0196,9.6135
8.8000,25.1875,-0.0319,-0.0581,57.0064,10.6264,5.0196,9.6131
8.9000,25.1875,-0.0536,-0.0562,57.0064,10.6268,5.0196,9.6135
9.0000,25.1250,-0.0525,-0.0746,57.0089,10.6268,5.0196,9.6135
9.1000,25.1250,-0.0491,-0.0622,57.0089,10.6264,5.0196,9.6135
9.2000,25.1875,-0.0551,-0.0735,57.0064,10.6268,5.0196,9.6135
9.3000,25.1875,-0.0529,-0.0626,57.0064,10.6268,5.0196,9.6131
9.4000,25.1875,-0.0615,-0.0664,57.0089,10.6264,5.0196,9.6135
9.5000,25.1875,-0.0428,-0.0589,57.0064,10.6268,5.0196,9.6135
9.6000,25.1875,-0.0476,-0.0750,57.0064,10.6268,5.0196,9.6135
9.7000,25.1875,-0.0338,-0.0634,57.0089,10.6264,5.0196,9.6135
9.8000,25.1875,-0.0259,-0.0634,57.0089,10.6264,5.0194,9.6135
9.9000,25.1875,-0.0296,-0.0634,57.0064,10.6268,5.0196,9.6135
10.0000,25.1875,-0.0409,-0.0701,57.0064,10.6268,5.0198,9.6135
10.1000,25.1875,-0.0424,-0.0630,57.0089,10.6264,5.0196,9.6135
10.2000,25.1875,-0.0480,-0.0596,57.0064,10.6268,5.0196,9.6135
10.3000,25.1875,-0.0397,-0.0761,57.0064,10.6268,5.0196,9.6135
10.4000,25.1250,-0.0382,-0.0735,57.0064,10.6268,5.0196,9.6135
10.5000,25.1250,-0.0409,-0.0596,57.0064,10.6268,5.0196,9.6135
10.6000,25.1250,-0.0300,-0.0600,57.0064,10.6268,5.0196,9.6135
10.7000,25.1250,-0.0495,-0.0686,57.0089,10.6268,5.0196,9.6135
10.8000,25.1250,-0.0472,-0.0551,57.0064,10.6268,5.0196,9.6135
10.9000,25.1250,-0.0431,-0.0634,57.0089,10.6268,5.0198,9.6135
11.0000,25.1250,-0.0431,-0.0653,57.0089,10.6268,5.0196,9.6135
11.1000,25.1250,-0.0319,-0.0739,57.0089,10.6268,5.0196,9.6135
11.2000,25.1875,-0.0319,-0.0634,57.0089,10.6264,5.0196,9.6135
11.3000,25.1875,-0.0326,-0.0622,57.0064,10.6268,5.0198,9.6135
11.4000,25.1875,-0.0379,-0.0653,57.0064,10.6264,5.0196,9.6135
11.5000,25.1875,-0.0540,-0.0551,57.0064,10.6264,5.0196,9.6135
11.6000,25.1875,-0.0300,-0.0593,57.0064,10.6268,5.0196,9.6135
11.7000,25.1875,-0.0397,-0.0645,57.0064,10.6268,5.0196,9.6135
11.8000,25.1875,-0.0364,-0.0401,57.0064,10.6264,5.0196,9.6135
11.9000,25.1250,-0.0450,-0.0690,57.0064,10.6268,5.0198,9.6135
12.0000,25.1250,-0.0281,-0.0690,57.0064,10.6268,5.0196,9.6135
12.1000,25.1250,-0.0356,-0.0428,57.0064,10.6268,5.0196,9.6135
12.2000,25.1250,-0.0311,-0.0604,57.0064,10.6264,5.0196,9.6135
12.3000,25.1250,-0.0217,-0.0443,57.0064,10.6268,5.0196,9.6135
12.4000,25.1250,-0.0176,-0.0547,57.0089,10.6268,5.0196,9.6135
12.5000,25.1250,-0.0285,-0.0551,57.0089,10.6264,5.0196,9.6135
12.6000,25.1875,-0.0274,-0.0487,57.0064,10.6264,5.0196,9.6135
12.7000,25.1875,-0.0311,-0.0570,57.0064,10.6268,5.0196,9.6135
12.8000,25.1875,-0.0233,-0.0559,57.0064,10.6268,5.0196,9.6135
12.9000,25.1250,-0.0341,-0.0653,57.0064,10.6268,5.0196,9.6135
