Date Time,Save File As,File Name,Calibration Factor,Reference diff Voltage,Facility,Investigator,Source,Brand,Particles,Energy,Dose Rate,Gantry,Collimator,Couch,Field Size X1,Field Size X2,Field Size Y1,Field Size Y2,Ion Chamber,Setup,Distance,MU,PS,Transducer Type,Sensor Type,Sensor Size,Fiber Diameter,Fiber Length,Sensor Position X,Sensor Position Y,Sensor Position Z,Reference Fiber Diameter,Reference Fiber Length,Comments
NA,Custom,10A10fff10x10d10nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 23
NA,Custom,10A10fff10x10d10nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 24
NA,Custom,10A10fff3x3d10nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,1.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 25
NA,Custom,10A10fff3x3d10nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,1.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 26
NA,Custom,10A10fff3x3d10nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,1.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 27
NA,Custom,10A10fff5x5d10nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,2.5,2.5,2.5,2.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 28
NA,Custom,10A10fff5x5d10nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,2.5,2.5,2.5,2.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 29
NA,Custom,10A10fff5x5d10nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,2.5,2.5,2.5,2.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 30
NA,Custom,10A10fff20x20d10nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,10,10,10,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 31
NA,Custom,10A10fff20x20d10nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,10,10,10,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 32
NA,Custom,10A10fff20x20d10nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,10,10,10,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 33
NA,Custom,10A10fff3x3d5nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,1.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 34
NA,Custom,10A10fff3x3d5nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,1.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 35
NA,Custom,10A10fff3x3d5nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,1.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 36
NA,Custom,10A10fff5x5d5nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,2.5,2.5,2.5,2.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 37
NA,Custom,10A10fff5x5d5nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,2.5,2.5,2.5,2.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 38
NA,Custom,10A10fff5x5d5nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,2.5,2.5,2.5,2.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 39
NA,Custom,10A10fff10x10d5nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 40
NA,Custom,10A10fff10x10d5nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 41
NA,Custom,10A10fff10x10d5nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 42
NA,Custom,10A10fff20x20d5nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,10,10,10,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 43
NA,Custom,10A10fff20x20d5nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,10,10,10,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 44
NA,Custom,10A10fff20x20d5nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,10,10,10,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 45
NA,Custom,10A10fff3x3d20nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,1.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 46
NA,Custom,10A10fff3x3d20nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,1.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 47
NA,Custom,10A10fff3x3d20nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,1.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 48
NA,Custom,10A10fff5x5d20nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,2.5,2.5,2.5,2.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 49
NA,Custom,10A10fff5x5d20nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,2.5,2.5,2.5,2.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 50
NA,Custom,10A10fff5x5d20nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,2.5,2.5,2.5,2.5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 51
NA,Custom,10A10fff10x10d20nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 52
NA,Custom,10A10fff10x10d20nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 53
NA,Custom,10A10fff10x10d20nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 54
NA,Custom,10A10fff20x20d20nc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,10,10,10,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 55
NA,Custom,10A10fff20x20d20nc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,10,10,10,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 56
NA,Custom,10A10fff20x20d20nc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,10,10,10,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,20,0.25,2000,Batch 57
